Stay - Nel labirinto della mente,2005
Stay Alive,2006
Step Up,2006
Step Up 3D,2010
Step Up 4 Revolution 3D,2012
Steve Jobs,2015
Still Alice,2014
Stone,2010
Storia d'inverno,2014
Strade perdute,1997
Strade violente,1981
Straight Outta Compton,2015
Strange Days,1995
Straw Dogs,2011
Stronger - Io sono più forte,2017
Sua Maestà,2011
Submarine,2010
Suburbicon,2017
Suffragette,2015
Sully,2016
Summer of 84,2018
Sunshine,2007
Super - Attento crimine!!!,2010
Super 8,2011
Superhero - Il più dotato fra i supereroi,2008
Superman,1978
Surf's Up - I re delle onde,2007
Survival of the Dead - L'isola dei sopravvissuti,2009
Suspense,1961
Suxbad: Tre menti sopra il pelo,2007
Svalvolati on the road,2007
Swiss Army Man - Un amico multiuso,2016
SWOP: I sesso dipendenti,2015
Take Me Home Tonight,2011
Take Shelter,2011
Take This Waltz,2011
Tamara Drewe - Tradimenti all'inglese,2010
Tammy,2014
Tartarughe Ninja - Fuori dall'ombra,2016
Tarzan,1999
Tavolo 19,2017
Ted 2,2015
Ted Bundy - Fascino criminale,2019
Tempesta di ghiaccio,1997
Tempi moderni,1936
Tenacious D e il destino del rock,2006
Tentazioni (ir)resistibili,2012
Terapia e pallottole,1999
Terminator 3 - Le macchine ribelli,2003
Terminator Genisys,2015
Terra di confine - Open Range,2003
Thank You for Smoking,2005
The Abyss,1989
The Amazing Spider-Man,2012
The Amazing Spider-Man 2 - Il potere di Electro,2014
The Assassination,2004
The Astronaut's Wife - La moglie dell'astronauta,1999
The Avengers - Agenti speciali,1998
The Aviator,2004
The Bad Batch,2016
The Bay,2012
The Belko Experiment: Chi sopravviverà?,2016
The Black Hole - Il buco nero,1979
The Blair Witch Project - Il mistero della strega di Blair,1999
The Blind Side,2009
The Blues Brothers - I fratelli Blues,1980
The Boss,2016
The Box,2009
The Boy,2016
The Butler - Un maggiordomo alla Casa Bianca,2013
The Butterfly Effect,2004
The Bye Bye Man,2017
The Call,2013
